Date (date),RTGS Volume (rtgs_vol),RTGS Value (rtgs_val),NEFT Volume (neft_vol),NEFT Value (neft_val),AePS Volume (aeps_vol),AePS Value (aeps_val),UPI Volume (upi_vol),UPI Value (upi_val),IMPS Volume (imps_vol),IMPS Value (imps_val),NACH Credit Volume (nach_credit_vol),NACH Credit Value (nach_credit_val),NACH Debit Volume (nach_debit_vol),NACH Debit Value (nach_debit_val),NETC Volume (netc_vol),NETC Value (netc_val),BBPS Volume (bbps_vol),BBPS Value (bbps_val),CTS Volume (cts_vol),CTS Value (cts_val),Credit Card (At PoS and e-Commerce) Volume (credit_card_at_pos_and_e_commerce_vol),Credit Card (At PoS and e-Commerce) Value (credit_card_at_pos_and_e_commerce_val),Debit Card (At PoS and e-Commerce) Volume (debit_card_at_pos_and_e_commerce_vol),Debit Card (At PoS and e-Commerce) Value (debit_card_at_pos_and_e_commerce_val),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Volume (ppis_card_at_pos_and_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Value (ppis_card_at_pos_and_e_commerce_val),NFS (through ATMs) Volume (nfs_through_atms_vol),NFS (through ATMs) Value (nfs_through_atms_val),AePS (through micro-ATMs / BCs) Volume (aeps_through_micro_atms_or_bcs_vol),AePS (through micro-ATMs / BCs) Value (aeps_through_micro_atms_or_bcs_val),Credit Card Volume (credit_card_at_pos_vol),Credit Card Value (credit_card_at_pos_val),Credit Card Volume at e-Commerce (credit_card_at_e_commerce_vol),Credit Card Value at e-Commerce (credit_card_at_e_commerce_val),Debit Card Volume (debit_card_at_pos_vol),Debit Card Value (debit_card_at_pos_val),Debit Card Volume at e-Commerce (debit_card_at_e_commerce_vol),Debit Card Value at e-Commerce (debit_card_at_e_commerce_val),Prepaid Payment Instruments (PPIs) Card Volume (ppis_card_at_pos_vol),Prepaid Payment Instruments (PPIs) Card Value (ppis_card_at_pos_val),Prepaid Payment Instruments (PPIs) Card Volume at e-Commerce (ppis_card_at_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card Value at e-Commerce (ppis_card_at_e_commerce_val),Government Securities Clearing Volume (government_securities_clearing_vol),Government Securities Clearing Value (government_securities_clearing_val),Forex Clearing Volume (forex_clearing_vol),Forex Clearing Value (forex_clearing_val),Rupee Derivatives (for all deals matched during the day) Volume (rupee_derivatives_vol),Rupee Derivatives (for all deals matched during the day) Value (rupee_derivatives_val)
"2022-07-17","0.51","4125.22","44.03","7568.92","0.55","15.48","1975.48","25086.78","128.87","8187.95","5.53","166.06","3.19","286.43","88.21","136.68","23.17","324.91","","","","","","","","","100.57","3604.15","29.93","728.19","28.86","813.28","22.43","874.79","49.52","953.08","20.82","313.55","2.68","44.63","3.59","62.56","","","","","",""
"2023-01-02","8.32","746955.13","248.21","133216.02","0.26","12.92","2641.16","50488.22","173.69","19862.41","96.84","9672.54","147.04","8178.5","94.79","147.57","35.3","534.78","22.08","23693.52","","","","","","","118.04","5301.06","34.99","1031.79","53.15","1812.92","52.15","3406.29","74.23","1599.61","39.02","882.17","1.08","21.91","1.95","47.93","0.05","730091.22","0.0","0.0","0.0","16515.0"
"2023-11-16","8.17","528489.63","202.81","110876.99","0.9","24.9","3610.35","55363.84","146.04","15934.32","163.42","7454.6","16.23","2208.47","109.37","164.95","46.69","1062.99","19.29","21369.9","","","","","","","104.76","4311.12","57.65","1425.06","32.63","1206.71","38.73","2934.17","36.11","895.51","15.51","389.34","0.87","16.19","1.16","57.2","0.07","676004.44","0.06","238626.69","0.0","15544.13"
"2020-11-14","","","11.52","4261.22","0.4","8.2","739.7","10494.83","103.86","6309.12","","","","","28.82","50.65","5.76","76.03","","","28.37","624.84","82.65","1095.18","3.12","55.06","129.31","5034.75","27.52","693.17","","","","","","","","","","","","","","","","","",""
"2020-07-07","4.94","347459.27","117.57","75837.34","0.52","8.41","496.02","10438.01","79.28","8374.16","62.88","3733.07","56.67","4380.0","27.54","50.24","6.12","100.03","22.07","17262.46","","","","","","","102.75","4476.89","28.09","662.93","","","","","","","","","","","","","","","","","",""
"2024-07-12","9.64","652629.82","266.77","135445.27","0.71","22.14","4674.07","66726.7","157.81","19471.64","155.0","5656.82","30.32","3871.68","110.44","186.7","65.4","2249.17","20.31","23574.3","","","","","","","98.74","4272.8","36.49","934.16","32.2","1399.58","40.46","2957.04","29.13","770.39","12.85","502.32","1.84","15.52","1.46","63.66","0.06","717923.81","0.12","307876.44","0.01","28983.5"
"2020-12-30","7.51","539024.18","144.8","123950.47","0.46","10.71","724.92","14315.01","113.39","10915.73","41.68","7558.18","7.4","1264.87","46.52","76.57","7.51","116.87","29.66","32851.6","40.45","1503.09","96.92","1715.93","4.26","129.07","111.72","4511.2","30.49","815.43","","","","","","","","","","","","","","","","","",""
"2024-11-22","10.69","915409.76","276.72","145063.16","0.62","19.14","5102.01","66901.25","129.58","18451.7","107.51","7548.81","27.54","4455.55","121.52","213.15","71.73","2956.06","20.43","23874.77","","","","","","","85.26","3542.6","25.8","654.45","33.34","1526.6","39.69","2750.92","25.67","725.22","10.52","373.63","4.67","16.08","1.25","65.43","0.06","813218.72","0.06","289110.35","0.0","22339.06"
"2021-10-11","10.11","467737.71","166.18","127816.74","0.68","20.16","1378.29","28260.91","147.87","14160.16","43.25","6250.43","56.47","4734.61","66.31","102.65","22.66","426.55","41.09","34532.85","","","","","","","122.15","5348.07","39.72","1043.87","45.09","1565.9","39.44","2276.04","91.09","2062.1","61.97","1040.31","1.56","25.12","9.24","53.21","0.07","614918.55","0.0","0.0","0.0","18240.0"
"2024-09-16","6.46","380503.72","224.63","101630.72","0.68","19.92","4923.31","63984.34","140.29","16477.54","88.48","2159.17","80.69","4419.83","107.72","177.92","73.76","2228.45","13.1","12392.82","","","","","","","93.23","3728.37","35.19","776.01","25.01","961.2","30.06","1734.45","23.01","590.56","8.54","269.91","2.41","13.36","1.39","81.4","0.0","72307.42","0.0","4850.52","0.0","18045.0"
"2021-10-25","10.45","572994.79","155.11","128347.21","0.67","17.49","1331.98","25923.01","141.88","13483.05","78.19","11996.29","34.84","2935.28","66.85","103.42","20.8","426.81","42.22","37422.56","","","","","","","104.1","4190.38","24.49","632.76","48.99","1657.35","42.85","2362.95","81.8","1936.3","57.48","897.21","1.52","24.79","7.64","53.91","0.06","634547.38","0.09","213984.42","0.0","32305.0"
"2024-01-23","9.89","706759.71","231.67","119391.41","0.71","23.23","3807.01","58416.14","159.36","18990.88","62.68","4692.12","15.01","2580.15","100.47","169.17","38.84","1018.25","23.97","25861.14","","","","","","","90.92","3694.62","26.12","691.35","49.79","1991.75","58.3","3942.25","40.44","1055.43","18.03","530.91","0.98","20.89","1.09","43.02","0.07","713962.45","0.21","445543.62","0.0","23455.0"
"2021-07-11","0.3","2319.03","20.28","4660.66","0.41","9.99","935.44","14528.9","93.83","6168.12","","","","","66.35","100.19","13.71","199.78","","","37.0","1164.86","74.94","1198.96","3.4","62.13","91.74","3517.1","21.71","548.37","","","","","","","","","","","","","","","","","",""
"2024-10-11","7.29","582847.84","255.17","117064.02","0.83","28.15","5355.89","69918.71","148.51","18107.21","102.46","5560.38","31.15","4429.28","112.67","196.61","72.05","2786.01","13.86","16720.88","","","","","","","109.96","4755.04","46.36","1214.03","35.14","1639.73","41.8","3115.29","29.28","807.87","11.32","424.47","4.36","16.9","2.12","140.65","0.08","750603.12","0.07","317359.05","0.01","29830.0"
